Country Name,1996,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,-0.54881525,-0.370746762,-0.726261258,-1.032590389,-1.115581155,-1.360476375,-1.863839388,-1.507097363,-1.543071628,-1.508331299,-1.546771407,-1.425789475,-1.404736876,-1.379088998,-1.627858877,-0.895563185,-1.209773779,-1.259732962,-1.253627181,-0.98556906,-0.928628743,-0.915816903,-1.036882758,-1.046462059,-0.908656716
Barbados,1.050371766,1.084265828,1.151199818,1.097199082,0.918948591,1.094352722,1.112918854,0.913211882,1.044206381,1.068358302,1.047740698,1.06063664,1.246130109,1.185965657,1.26692915,1.277919888,1.116827726,0.960008144,0.952525318,0.900694907,1.032931089,1.120659947,1.118570447,1.144645452,1.187128544
Belarus,0.093739204,0.10947556,0.139502242,0.30280596,0.69302994,0.161766872,0.360231072,0.148469687,0.341008782,0.521403909,0.489347756,-0.094990097,-0.087769009,0.06861522,0.005959166,0.179782152,0.110905699,0.135706261,-0.057208706,0.353592694,0.344978094,-0.887615979,-0.754245579,-0.802096605,-0.729365647
Belgium & Luxembourg,1.293,1.044,1.156,1.281,0.89,0.742,0.823,0.886,0.796,0.669,0.855,0.846,0.974,0.946,0.961,0.738,0.623,0.482,0.466,0.445,0.506,0.558,0.691,0.608,0.439
Belize,0.559152126,0.596629977,0.184220716,0.417992562,0.486082047,0.401561916,0.104911745,0.08197704,0.194921583,0.190071985,0.028430205,0.070427686,0.15190886,0.180257618,0.176189259,0.048583075,0.037259512,0.052189551,0.030404126,-0.00212322,0.061986484,0.518667579,0.272466063,0.56400609,0.585325778
Benin,1.050371766,0.742279053,0.799652576,0.821515858,0.679285824,0.265973479,0.449746281,0.54789257,0.386217624,0.376421362,0.403666675,0.261260122,0.318356365,0.364367604,0.301189363,0.027139762,-0.020496422,-0.008783503,0.026252493,-0.146990418,-0.420240253,-0.443071663,-0.396318674,-0.34320268,-0.346559435
Bermuda,0.717076898,0.728511989,0.713235021,0.792559922,0.851720035,0.893765926,0.819073558,0.774651468,0.771330535,0.795972288,0.693532228,0.911838114,0.964122117,0.980253696,0.970303059,0.913897812,0.961817384,0.975613654,0.98149091,1.133248329,1.051519036,1.003442287,1.00254035,1.024043798,1.020406246
Bhutan,0.724004507,0.539632082,0.491936684,0.693675578,0.918948591,1.172050357,1.284487367,1.264518976,0.568526506,0.720669389,0.803496659,0.742221653,0.826495349,0.77630949,0.784624875,1.068038583,0.960772634,1.106088281,1.102794647,1.077661037,1.065471411,1.013489127,0.797255099,1.009342551,0.982800424
Bolivia,-0.134768322,-0.241092369,-0.237061173,-0.286515564,-0.83488518,-0.680570841,-0.971029878,-0.802562952,-0.852070689,-0.696565807,-0.506110489,-0.415407211,-0.417126507,-0.458068103,-0.328593433,-0.333112091,-0.270498693,-0.253675967,-0.280110896,-0.286620706,-0.728340268,-0.45346719,-0.278774261,-0.191908553,-0.313183635
Bosnia and Herzegovina,-0.594427824,-0.58641547,-0.528393328,-0.163837284,-0.405683517,0.017319396,-0.500624359,-0.441336751,-0.631416619,-0.539653778,-0.665914297,-0.693730175,-0.819794893,-0.538148701,-0.404944122,-0.019179042,-0.404167622,-0.402664006,-0.351469874,-0.400853604,-0.424811691,-0.447477132,-0.421740085,-0.483193696,-0.353373319
Botswana,1.015245199,0.955491304,1.074352503,0.873264432,1.104937553,0.91668874,1.063572526,1.017109871,1.056139112,1.033105612,0.953861237,0.991209805,1.064446568,1.104041457,1.102347016,1.011847138,1.031368256,0.979198039,1.009295821,0.958469868,1.095329881,1.013168097,1.041407108,1.073983788,1.038439989
Brazil,-0.220460132,-0.339505792,0.184101626,0.327800274,0.004213934,-0.275992811,-0.263379753,-0.294911116,-0.357948095,-0.313424706,0.163664222,0.013475911,-0.132575423,0.045961641,-0.258553296,-0.070290133,-0.331864446,-0.38103506,-0.479947567,-0.459598511,-0.714224637,-0.44689092,-0.419879764,-0.395036936,-0.408567786
Brunei Darussalam,1.237043977,1.111638665,1.302023292,1.155532122,1.144425869,1.369434714,1.212659836,1.12335515,1.107106924,1.125619054,1.387126684,1.277547002,1.085193753,0.909327209,1.074022293,1.261507034,1.233712554,1.142017841,1.153426766,1.23603785,1.111087203,1.188084006,1.171809912,1.242488623,1.366000652
